*Ni (Z = 28) Atomic weight: /A_r / = 58.69000 g mol^-1 *   Nominal
density:   /ρ/ (g cm^-3 ) = 8.8760
    /σ//_a /(barns/atom) = [/μ///ρ/](cm^2 g^-1 )  ×  9.74571E+01 
    /E/(eV) [/μ///ρ/](cm^2 g^-1 ) = /f/_2 (/e/ atom^-1 )  ×  7.16993E+05 
    9 edges. Edge energies (keV):

     
      K      8.33280E+00  L I    1.00810E+00  L II   8.71900E-01  L III  8.54700E-01 
      M I    1.11800E-01  M II   6.81000E-02  M III  6.81000E-02  M IV   3.60000E-03 
      M V    3.60000E-03 

    Relativistic correction estimate /f/_rel (H82,3/5CL) = -1.2883E-01,
    -8.1000E-02 /e/ atom^-1 
    Nuclear Thomson correction /f/_NT = -7.3281E-03 /e/ atom^-1 

------------------------------------------------------------------------
*Form Factors, Attenuation and Scattering Cross-sections*
*Z=28, /E/ = 0.5 - 50 keV*

      /E/            /f/_1           /f/_2         [mu/rho]      [sigma/rho]      [mu/rho]      [mu/rho]_/K/       lambda
                                      Photoelectric Coh+inc      Total
     keV        /e/ atom^-1       /e/ atom^-1    cm^2  /g/^-1        cm^2  /g/^-1       cm^2  /g/^-1    cm^2  /g/^-1      nm
3.105150E+00  2.79386E+01  2.6981E+00  6.2301E+02  3.9126E+00  6.2692E+02  0.000E+00  3.993E-01
3.319406E+00  2.78847E+01  2.4055E+00  5.1958E+02  3.7819E+00  5.2336E+02  0.000E+00  3.735E-01
3.548445E+00  2.78165E+01  2.1392E+00  4.3225E+02  3.6463E+00  4.3590E+02  0.000E+00  3.494E-01
3.793288E+00  2.77340E+01  1.8970E+00  3.5857E+02  3.5068E+00  3.6208E+02  0.000E+00  3.269E-01
4.055024E+00  2.76425E+01  1.6844E+00  2.9783E+02  3.3645E+00  3.0119E+02  0.000E+00  3.058E-01
4.334821E+00  2.75458E+01  1.4976E+00  2.4771E+02  3.2203E+00  2.5093E+02  0.000E+00  2.860E-01
4.633924E+00  2.74435E+01  1.3269E+00  2.0531E+02  3.0752E+00  2.0839E+02  0.000E+00  2.676E-01
4.953664E+00  2.73322E+01  1.1761E+00  1.7023E+02  2.9299E+00  1.7316E+02  0.000E+00  2.503E-01
5.295467E+00  2.72114E+01  1.0433E+00  1.4127E+02  2.7853E+00  1.4406E+02  0.000E+00  2.341E-01
5.660855E+00  2.70779E+01  9.2645E-01  1.1734E+02  2.6421E+00  1.1998E+02  0.000E+00  2.190E-01
6.051453E+00  2.69254E+01  8.2342E-01  9.7561E+01  2.5011E+00  1.0006E+02  0.000E+00  2.049E-01
6.469004E+00  2.67418E+01  7.3254E-01  8.1191E+01  2.3628E+00  8.3554E+01  0.000E+00  1.917E-01
