0	20	0
0.0050	19.9880	0.0180
0.0100	19.9570	0.0720
0.0150	19.9070	0.1598
0.0200	19.8370	0.2781
0.0230	19.7480	0.4230
0.0300	19.6430	0.5897
0.0400	19.3880	0.9685
0.0500	19.0880	1.3750
0.0700	18.3580	2.1575
0.0900	17.6750	2.8172
0.1000	17.3190	3.1050
0.1250	16.4830	3.7618
0.1500	15.7140	4.4010
0.1750	14.9900	5.0477
0.2000	14.2530	5.6900
0.2500	12.9470	6.8993
0.3000	11.6890	7.9810
0.4000	9.6295	9.7900
0.5000	8.2524	11.1570
0.6000	7.3767	12.1630
0.7000	6.7458	12.9530
0.8000	6.2055	13.6350
0.9000	5.6909	14.2560
1	5.1814	14.8300
1.2500	3.9821	16.0380
1.5000	3.0020	16.9210
2	1.8918	17.9700
2.5000	1.4319	18.5310
3	1.2501	18.9060
3.5000	1.0640	19.1910
4	0.9473	19.4110
5	0.7051	19.6980
6	0.5145	19.8490
7	0.3722	19.9240
8	0.2972	19.9610
10	0.1472	19.9890
15	0.0407	19.9990
20	0.0149	20
40	4.8526e-04	20
80	8.1809e-05	20
100	3.5372e-05	20
1000	1.1174e-08	20
1000000	9.5751e-18	20
1.0000e+09	1.1058e-26	20
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
