0	19	0
0.0050	18.9890	0.0160
0.0100	18.9610	0.0620
0.0150	18.9160	0.1377
0.0200	18.8530	0.2378
0.0230	18.7740	0.3584
0.0300	18.6810	0.4946
0.0400	18.4590	0.7945
0.0500	18.2020	1.1050
0.0700	17.6250	1.6922
0.0900	17.0260	2.2326
0.1000	16.7250	2.5000
0.1250	15.9830	3.1897
0.1500	15.2370	3.9050
0.1750	14.4770	4.6163
0.2000	13.7150	5.3010
0.2500	12.2540	6.5550
0.3000	10.9630	7.6520
0.4000	9.0418	9.4050
0.5000	7.8720	10.6500
0.6000	7.1166	11.5680
0.7000	6.5109	12.3290
0.8000	5.9399	13.0140
0.9000	5.3789	13.6450
1	4.8343	14.2200
1.2500	3.6100	15.3930
1.5000	2.6907	16.2120
2	1.7353	17.1520
2.5000	1.3577	17.6640
3	1.1889	18.0200
3.5000	1.0201	18.2900
4	0.8961	18.4940
5	0.6482	18.7520
6	0.4613	18.8800
7	0.3296	18.9410
8	0.2614	18.9700
10	0.1251	18.9920
15	0.0340	18.9990
20	0.0123	19
40	3.9257e-04	19
80	6.5794e-05	19
100	2.8369e-05	19
1000	8.6710e-09	19
1000000	7.2206e-18	19
1.0000e+09	8.2482e-27	19
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
